SID,ISO_TIME,LAT,LON,BASIN,SUBBASIN
1904228N20124,1904-08-14 18:00:00,20.0871,124.252,WP,MM
1904232N21135,1904-08-18 18:00:00,21.404,134.366,WP,MM
1904235N16113,1904-08-21 18:00:00,16.0091,112.765,WP,MM
1904242N20132,1904-08-28 18:00:00,21.4334,131.491,WP,MM
1904248N10150,1904-09-03 18:00:00,9.97662,149.89,WP,MM
1904257N17150,1904-09-12 18:00:00,17.3791,149.724,WP,MM
1904257N22144,1904-09-12 18:00:00,21.7363,143.349,WP,MM
1904277N16138,1904-10-02 18:00:00,16.023,137.833,WP,MM
1904304N16113,1904-10-29 18:00:00,15.8677,112.499,WP,MM
1905113N09150,1905-04-22 18:00:00,8.97229,149.283,WP,MM
1905143N17129,1905-05-22 18:00:00,16.8227,128.235,WP,MM
1905163N23138,1905-06-11 18:00:00,23.2964,137.614,WP,MM
1905166N18117,1905-06-14 18:00:00,18.2608,116.632,WP,MM
1905181N19126,1905-06-29 18:00:00,18.885,125.509,WP,MM
1905197N20134,1905-07-15 18:00:00,20.172,133.681,WP,MM
1905200N17122,1905-07-18 18:00:00,16.739,121.801,WP,MM
1905207N22118,1905-07-25 18:00:00,22.2069,117.601,WP,MM
1905212N21123,1905-07-30 18:00:00,20.9838,122.887,WP,MM
1905214N17149,1905-08-01 18:00:00,16.9231,148.271,WP,MM
1905223N11142,1905-08-10 18:00:00,10.8744,141.579,WP,MM
1905229N19116,1905-08-16 18:00:00,19.4894,115.773,WP,MM
1905235N10146,1905-08-22 18:00:00,10.3711,145.176,WP,MM
1905239N16148,1905-08-26 18:00:00,15.9381,147.312,WP,MM
1905256N21125,1905-09-12 18:00:00,21.4727,124.46,WP,MM
1905260N17125,1905-09-16 18:00:00,16.6214,124.667,WP,MM
1905265N13127,1905-09-21 18:00:00,12.7532,126.041,WP,MM
1905268N11130,1905-09-24 18:00:00,10.6645,129.608,WP,MM
1905278N20131,1905-10-04 18:00:00,20.8667,130.73,WP,MM
1905296N13126,1905-10-22 18:00:00,13.0485,126.239,WP,MM
1905303N12133,1905-10-29 18:00:00,12.4065,132.505,WP,MM
1905362N17125,1905-12-27 18:00:00,17.3022,125.007,WP,MM
1906132N10141,1906-05-11 18:00:00,9.67824,140.54,WP,MM
1906145N12127,1906-05-24 18:00:00,12.3809,126.425,WP,MM
1906152N19118,1906-05-31 18:00:00,19.3763,118.436,WP,MM
1906203N22131,1906-07-21 18:00:00,22.6244,131.005,WP,MM
1906238N21129,1906-08-26 06:00:00,20.5242,128.929,WP,MM
1906247N16113,1906-09-03 18:00:00,16.496,112.556,WP,MM
1906248N12134,1906-09-04 18:00:00,12.3706,133.271,WP,MM
1906251N17145,1906-09-07 18:00:00,17.2022,144.874,WP,MM
1906255N19118,1906-09-11 18:00:00,19.4119,117.536,WP,MM
1906255N22124,1906-09-11 18:00:00,21.7131,124.441,WP,MM
1906262N16128,1906-09-18 18:00:00,16.5498,126.693,WP,MM
1906264N13127,1906-09-20 18:00:00,13.3099,126.514,WP,MM
1906269N15128,1906-09-25 18:00:00,14.6544,127.266,WP,MM
1906273N21126,1906-09-29 18:00:00,20.7222,125.486,WP,MM
1906279N17117,1906-10-06 06:00:00,16.9635,116.214,WP,MM
1906282N16129,1906-10-08 18:00:00,16.3697,128.697,WP,MM
